Depth.m,Gamma.gAPI,Perm.mD,Porosity.m3/m3,Resistivity.ohm.m,Lithology
1501.629,78.86945343,0.001245799,0.00267428,0.709644258,1
1502.129,78.00830078,0.001253346,0.00256076,0.790187717,1
1502.629,75.58155823,0.001171211,0.00242126,0.780511141,1
1503.129,73.23803711,0.001096468,0.00238589,0.706579149,1
1503.629,71.50417328,0.001060111,0.00238377,0.661791086,1
1504.129,71.45922852,0.001127148,0.00240893,0.731052399,1
1504.629,73.44779968,0.001318336,0.00244279,0.969845891,1
1505.129,75.83061981,0.001498931,0.00256038,1.130559683,1
1505.629,78.08425903,0.00162591,0.00270472,1.179028034,1
1506.129,79.79925537,0.001711345,0.00266565,1.348678231,1
1506.629,80.84487152,0.001759089,0.00256802,1.546888828,1
1507.129,80.38166046,0.001748501,0.00256206,1.536155462,1
1507.629,78.14160156,0.00167299,0.00258538,1.378582716,1
1508.129,77.07466126,0.00150334,0.00253027,1.167205095,1
1508.629,78.12273407,0.001230222,0.00245013,0.838978767,1
1509.129,80.32093811,0.000932196,0.00249393,0.463307053,1
1509.629,83.36120606,0.000634344,0.00257731,0.199564382,1
1510.129,86.87064362,0.000438036,0.00261494,0.092172787,0
1510.629,90.73018646,0.000375636,0.00263797,0.066487737,0
1511.129,93.79785156,0.000359393,0.00244432,0.071976647,0
1511.629,95.70903015,0.000361287,0.00218148,0.093422607,0
1512.129,95.94647217,0.000569941,0.00217284,0.234530389,0
1512.629,94.34503174,0.001045581,0.00224536,0.734321177,0
1513.129,87.30776978,0.002563157,0.00246015,3.609399319,2
1513.629,73.68623352,0.005370102,0.00272036,12.69951439,1
1514.129,63.07239533,0.007085574,0.00283209,20.23552895,2
1514.629,58.52885819,0.006949394,0.00289643,18.52657509,2
1515.129,58.11787415,0.005696462,0.00284402,12.95861244,2
1515.629,61.22075272,0.003561423,0.00275434,5.435112,2
1516.129,65.9960022,0.002025845,0.00264269,1.926241517,2
1516.629,71.85567474,0.001562775,0.00252403,1.26819253,0
1517.129,76.82764435,0.001386653,0.00237911,1.137165546,1
1517.629,80.28224945,0.001246658,0.00222581,1.064193845,1
1518.129,82.63201904,0.001130581,0.00231234,0.804802597,1
1518.629,84.00867462,0.001034523,0.00247545,0.580017805,1
1519.129,85.73566437,0.000898231,0.00241234,0.462818801,1
1519.629,88.23555756,0.000702464,0.002277,0.321403086,1
