Depth.m,Gamma.gAPI,Perm.mD,Porosity.m3/m3,Resistivity.ohm.m,Lithology
1468.4883,69.49101257,0.00327455,0.00226844,7.042113781,2
1468.9883,65.88682556,0.0019171,0.00223971,2.482376099,2
1469.4883,75.46595001,0.001478804,0.00217869,1.569607735,1
1469.9883,85.36164093,0.00106258,0.00216773,0.81942904,0
1470.4883,81.18484497,0.000984434,0.00220882,0.674871028,1
1470.9883,76.67012024,0.000914408,0.00219981,0.587533414,1
1471.4883,71.18447876,0.001375288,0.00213826,1.414665818,0
1471.9883,65.67551422,0.001848916,0.00214946,2.52760911,2
1472.4883,68.22246552,0.002082041,0.0022364,2.937445164,2
1472.9883,70.96285248,0.002309391,0.00222147,3.667633772,2
1473.4883,83.90407562,0.001397094,0.00210041,1.518386602,0
1473.9883,97.09025574,0.000457431,0.00204523,0.172590807,0
1474.4883,95.68334961,0.001113875,0.00206005,1.007261157,0
1474.9883,93.92601013,0.001808647,0.00206345,2.646068335,2
1475.4883,94.9569931,0.001285288,0.00205348,1.350584745,0
1475.9883,96.05493164,0.000732677,0.00210326,0.416352391,0
1476.4883,84.32994843,0.002197748,0.00221457,3.344405174,1
1476.9883,72.29705048,0.003711269,0.00226922,9.038915634,1
1477.4883,72.6636734,0.002828303,0.00226439,5.274231434,1
1477.9883,73.32805634,0.00188779,0.00220464,2.492093802,1
1478.4883,70.24980164,0.002329036,0.00209006,4.265826702,2
1478.9883,67.0816803,0.002803463,0.00202939,6.594552994,2
1479.4883,82.47271729,0.001619807,0.00202522,2.211504698,1
1479.9883,98.30941773,0.000396337,0.00206912,0.126299217,0
1480.4883,88.99956513,0.000859708,0.00216089,0.540144563,0
1480.9883,79.08586121,0.001363585,0.00218025,1.332449555,1
1481.4883,84.86624908,0.001074598,0.00212433,0.876200974,0
1481.9883,91.02350617,0.000766572,0.00207715,0.468464017,0
1482.4883,94.93712616,0.000726491,0.00204073,0.437453717,0
1482.9883,98.79686737,0.000692844,0.00206784,0.386485964,0
1483.4883,89.15054321,0.003155743,0.00215974,7.286518097,2
1483.9883,79.17989349,0.005678593,0.00222312,22.13925552,1
1484.4883,75.62119293,0.00374147,0.00225574,9.307831764,1
1484.9883,72.21646881,0.00169725,0.00223687,1.951110125,0
1485.4883,79.64949036,0.001281703,0.00216601,1.194322825,1
1485.9883,87.34275818,0.000905266,0.00215356,0.603402317,1
1486.4883,82.30747223,0.001475952,0.00220217,1.527118564,1
1486.9883,76.96653748,0.002069382,0.00220552,2.99196887,1
1487.4883,81.59223938,0.001613199,0.00216105,1.901573777,1
1487.9883,86.45727539,0.001131811,0.00215404,0.942734957,1
1488.4883,78.04174805,0.000885787,0.00218651,0.558734655,1
1488.9883,69.30731964,0.000645415,0.00220418,0.291430324,0
1489.4883,74.02649689,0.00091804,0.00220576,0.588701844,0
1489.9883,79.06874847,0.001202984,0.00220505,1.011577725,1
1490.4883,79.46816254,0.002226263,0.0022024,3.47361207,1
1490.9883,79.75608826,0.003267271,0.00234205,6.535200119,1
1491.4883,74.46326447,0.002579,0.00262747,3.161693573,2
1491.9883,69.03642273,0.001849204,0.00263026,1.621706843,0
1492.4883,75.05764008,0.002186031,0.00234015,2.930733442,2
1492.9883,81.35375977,0.002548471,0.00219322,4.593867302,1
1493.4883,80.42668915,0.001471357,0.00219993,1.521025538,1
1493.9883,79.32616425,0.000359675,0.00217616,0.093089245,1
