Depth.m,Gamma.gAPI,Perm.mD,Porosity.m3/m3,Resistivity.ohm.m,Lithology
1925.3362,78.64306641,0.001016656,0.00173704,1.221142411,0
1925.8362,74.57785034,0.001090284,0.00176716,1.352298856,0
1926.3362,72.15753937,0.001337841,0.00178592,1.989355087,0
1926.8362,70.53860474,0.001670132,0.00179174,3.078198433,0
1927.3362,70.90517426,0.001559858,0.00178385,2.711324692,0
1927.8362,72.23905945,0.00123397,0.00176637,1.73392117,0
1928.3362,74.66770935,0.001114841,0.00174133,1.460451603,0
1928.8362,77.62971497,0.001096442,0.00172394,1.44418323,0
1929.3362,78.41043091,0.000880929,0.00172162,0.935018301,0
1929.8362,78.12844849,0.000569386,0.0017208,0.391026348,0
1930.3362,78.58811188,0.000451914,0.00171486,0.248203769,0
1930.8362,79.40908814,0.000428992,0.00170448,0.226671144,0
1931.3362,80.82258606,0.000381624,0.00169,0.182776094,0
1931.8362,82.52475739,0.000322345,0.00167802,0.132460892,0
1932.3362,83.4006424,0.000278874,0.00167175,0.0999626,0
1932.8362,83.87395477,0.000243103,0.0016812,0.07502725,0
1933.3362,81.3682251,0.00037528,0.00171122,0.171964318,0
1933.8362,77.41114044,0.000589279,0.00174614,0.405571789,0
1934.3362,73.85030365,0.0007029,0.00177832,0.554325283,0
1934.8362,70.48251343,0.000767617,0.00178773,0.653469503,0
1935.3362,71.82387543,0.000787636,0.00176462,0.707975268,0
1935.8362,75.45949554,0.000785877,0.00172788,0.738208592,0
1936.3362,79.73160553,0.000650296,0.00168676,0.532971799,0
1936.8362,84.31381989,0.000449518,0.00165749,0.264667779,0
1937.3362,86.03357697,0.000509807,0.00164799,0.344756007,0
1937.8362,86.35877228,0.000697286,0.00167378,0.623283386,0
1938.3362,80.48201752,0.001361981,0.0017424,2.176791668,0
1938.8362,71.58376312,0.00225917,0.00181075,5.503120899,2
1939.3362,65.7665863,0.003730717,0.00185782,14.18327808,2
1939.8362,61.45048523,0.005482084,0.0018845,29.67972755,2
1940.3362,60.02178192,0.005884911,0.00189124,33.93416596,2
1940.8362,59.99978638,0.005630745,0.00187547,31.64385796,2
1941.3362,63.41716766,0.004933884,0.00183595,25.46149826,2
1941.8362,68.51017761,0.004021347,0.00180245,17.61343384,2
1942.3362,70.62966919,0.002558647,0.00178948,7.244720936,2
1942.8362,71.30049896,0.000827914,0.00178122,0.766287506,0
1943.3362,72.40729523,0.000265804,0.00176996,0.08009468,0
1943.8362,73.72648621,0.000273033,0.00175563,0.086035654,0
1944.3362,75.49181366,0.000258924,0.00173822,0.079088531,0
1944.8362,77.47450256,0.000234418,0.00172235,0.066147931,0
1945.3362,78.91018677,0.000217288,0.00171025,0.057721976,0
1945.8362,80.07936859,0.000203751,0.00171613,0.050372042,0
1946.3362,77.64256287,0.000335915,0.00174693,0.131659895,0
1946.8362,73.44897461,0.000539064,0.00179945,0.317667127,0
1947.3362,66.33512116,0.000948373,0.00187214,0.901185334,1
1947.8362,57.7985611,0.001458122,0.00194555,1.957466245,0
1948.3362,50.53081131,0.001944495,0.0020102,3.23956871,0
1948.8362,43.8812027,0.002419479,0.00205838,4.760884285,2
1949.3362,40.15799332,0.002497482,0.00208634,4.924446583,2
1949.8362,37.86048889,0.002382079,0.00208582,4.482325554,2
1950.3362,40.27025223,0.002105621,0.00205278,3.627495527,0
1950.8362,44.9733429,0.001750697,0.00200924,2.628766775,0
1951.3362,49.64312363,0.001313362,0.00196594,1.55208087,0
1951.8362,54.29667664,0.000835877,0.00192515,0.658358693,0
1952.3362,58.42483521,0.000789463,0.00188799,0.613005996,1
1952.8362,62.2970314,0.000953063,0.00187349,0.908677757,1
1953.3362,61.54614258,0.001220408,0.00189093,1.459902406,1
1953.8362,58.54294205,0.001538296,0.00191168,2.264468432,1
1954.3362,57.08003235,0.002801877,0.00192178,7.425919533,2
1954.8362,56.36753082,0.00452619,0.00192846,19.23101044,2
1955.3362,55.6413269,0.004917149,0.00193524,22.52216721,2
1955.8362,54.90844727,0.004658517,0.00192599,20.42944145,2
1956.3362,57.63320541,0.004273344,0.00189285,17.85994721,2
1956.8362,62.04248047,0.003826522,0.00185962,14.88932896,1
1957.3362,64.78813171,0.002645806,0.00183788,7.30496788,1
1957.8362,66.72328949,0.001107547,0.00182343,1.302470446,1
1958.3362,67.89823151,0.000713338,0.00181424,0.546338439,1
1958.8362,68.70278931,0.000876497,0.00181243,0.826657653,0
1959.3362,68.28672791,0.001563448,0.00181906,2.609176159,0
1959.8362,67.27598572,0.002505584,0.00151664,9.997157097,1
1960.3362,68.25008392,0.002697952,0.0010531,25.86040115,2
1960.8362,70.19116974,0.002525041,0.00088212,33.44845581,2
1961.3362,73.3236084,0.002372336,0.00085032,32.00892639,2
1961.8362,77.03646088,0.002229474,0.00081942,30.66835785,2
1962.3362,79.97662354,0.001641632,0.00079386,17.8285141,2
1962.8362,82.54034424,0.000837001,0.00078112,4.802564621,2
1963.3362,82.71841431,0.000578537,0.00078487,2.270426035,0
1963.8362,81.73422241,0.000586159,0.00079367,2.274166346,0
1964.3362,80.82348633,0.000577748,0.00080197,2.159382582,0
1964.8362,79.9485321,0.000561528,0.00080595,2.017738819,0
1965.3362,79.96552277,0.000471742,0.00080378,1.432539463,0
1965.8362,80.41706085,0.000346115,0.0007996,0.780046821,0
1966.3362,80.86386108,0.000314029,0.00079545,0.649517298,0
1966.8362,81.30835724,0.000327515,0.00078245,0.73258239,0
1967.3362,83.66299439,0.000376511,0.00075626,1.043466568,0
1967.8362,86.94822693,0.000442808,0.00072694,1.574466705,0
1968.3362,89.97718048,0.000423247,0.00069938,1.566095233,0
1968.8362,92.88127899,0.000361857,0.00067084,1.254618287,0
1969.3362,96.12236023,0.000326358,0.00063996,1.132012844,0
1969.8362,99.52761841,0.000303472,0.00063139,1.008285046,1
1970.3362,97.96763611,0.00041248,0.00065712,1.70603323,0
1970.8362,93.98864746,0.000585744,0.00069644,3.027415514,0
1971.3362,89.5030365,0.000707847,0.00073925,3.877379656,0
1971.8362,84.77061462,0.000805025,0.00078393,4.407670498,2
1972.3362,79.88169861,0.000817996,0.00082971,4.016649723,0
1972.8362,74.91654968,0.000789941,0.00086258,3.438983202,0
1973.3362,72.80531311,0.00063091,0.00087573,2.121878862,0
1973.8362,72.08447266,0.000408071,0.00087318,0.893392146,0
1974.3362,73.35417938,0.000295874,0.00085688,0.489542753,0
1974.8362,75.59366608,0.000237583,0.00083274,0.336130559,0
1975.3362,78.5508194,0.000205981,0.00080365,0.273215741,0
1975.8362,81.85761261,0.000187382,0.00077924,0.241979942,0
1976.3362,83.80623627,0.000187176,0.00076421,0.252018064,0
1976.8362,85.0931778,0.00019593,0.00076279,0.277275711,0
1977.3362,84.11431885,0.000215767,0.000777,0.322881371,0
1977.8362,82.03159332,0.000241003,0.00080353,0.374143869,0
1978.3362,78.40176392,0.00038969,0.00084075,0.885466278,0
1978.8362,74.01819611,0.000598522,0.00087546,1.910911918,0
1979.3362,70.93130493,0.001710018,0.0009012,14.63506317,2
1979.8362,68.47613525,0.00326128,0.00092168,50.66403961,2
1980.3362,66.51950073,0.003743673,0.00093873,64.12187195,2
1980.8362,64.80574799,0.003705325,0.00094489,61.91756821,2
1981.3362,65.19451904,0.003576037,0.00093653,58.81069946,2
1981.8362,66.60762024,0.003402444,0.00091767,55.67646408,2
1982.3362,69.25395966,0.002304673,0.0008903,27.30477142,2
1982.8362,72.50110626,0.000756653,0.00086904,3.103891134,0
1983.3362,73.83158112,0.000273589,0.00086102,0.414158434,0
1983.8362,74.22827911,0.000309356,0.00086737,0.521037102,0
1984.3362,72.46263123,0.000967667,0.00088867,4.833067894,2
1984.8362,69.6435318,0.001929273,0.00092432,17.61887932,2
1985.3362,64.78650665,0.005382911,0.00097405,122.2237473,1
1985.8362,58.93661881,0.010050637,0.00101669,387.7684021,1
1986.3362,55.60774994,0.011553368,0.00104191,485.501648,2
1986.8362,53.50708771,0.011514152,0.0010514,472.6878357,2
1987.3362,53.56253815,0.0109298,0.00104601,430.7700501,2
1987.8362,54.66841888,0.010079864,0.00103462,375.3110962,2
1988.3362,56.01519394,0.006857722,0.00102156,178.6402435,2
1988.8362,57.47932434,0.002479872,0.00100739,24.08926582,2
1989.3362,59.06719589,0.00106678,0.00099236,4.60763073,1
1989.8362,60.71534729,0.001098084,0.00097787,5.042579174,1
1990.3362,62.18601608,0.001137412,0.0009646,5.575344086,1
1990.8362,63.57022095,0.001180649,0.00095638,6.121453762,1
1991.3362,63.95757294,0.001043985,0.00095504,4.801107407,1
1991.8362,63.859272,0.000819676,0.00096071,2.921338081,1
1992.3362,62.73677063,0.000796368,0.00097346,2.678719759,1
1992.8362,61.11529923,0.000870984,0.00098558,3.118156672,1
1993.3362,60.1276741,0.000897066,0.00099332,3.251267195,1
1993.8362,59.44885635,0.000899503,0.0009936,3.266932011,1
1994.3362,60.06637192,0.000872847,0.00098492,3.136132002,1
1994.8362,61.31544876,0.000832017,0.000969,2.953602314,0
1995.3362,63.49434662,0.001082605,0.00094666,5.263967037,2
1995.8362,66.12624359,0.001475168,0.00091893,10.43426228,2
1996.3362,69.46264648,0.001696187,0.00088635,14.93537331,2
1996.8362,73.14227295,0.001833632,0.00083508,19.89859581,2
1997.3362,80.49960327,0.001829414,0.00075842,24.48061752,2
1997.8362,89.64866638,0.001756179,0.0006559,31.05235672,2
1998.3362,102.5694504,0.001379351,0.00052998,30.6181469,1
1998.8362,117.3277664,0.000854617,0.00051398,12.57365513,2
1999.3362,130.2835236,0.000461123,0.00049357,4.00190258,0
1999.8362,142.361084,0.000131568,0.00041115,0.486964762,0
2000.3362,149.8821106,1.83E-05,0.00027024,0.023781547,0
2000.8362,155.1832275,1.05E-05,7.07E-05,0.148143917,0
2001.3362,155.5575867,1.13E-05,0,-999.25,0
2001.8362,153.5316925,1.64E-05,0.00012905,0.096424229,0
2002.3362,151.1555939,2.06E-05,0.00022425,0.045198459,0
2002.8362,148.6088562,2.44E-05,0.00028137,0.038488023,0
2003.3362,147.1875763,2.61E-05,0.00028274,0.043515462,0
2003.8362,146.3145752,2.67E-05,0.00014042,0.213222936,0
2004.3362,145.6647339,2.47E-05,8.11E-05,0.607939541,0
2004.8362,145.1236267,2.13E-05,0.00018049,0.078191996,0
2005.3362,144.3101959,2.13E-05,0.00035666,0.017505672,0
2005.8362,143.36409,2.30E-05,0.00048192,0.010488452,0
2006.3362,141.4269867,2.22E-05,0.00043743,0.012090825,0
2006.8362,139.0070648,2.02E-05,0.00023912,0.037796043,0
2007.3362,137.5514526,2.20E-05,0.00023134,0.048227985,0
2007.8362,136.5656128,2.56E-05,0.00029558,0.03825447,0
2008.3362,136.1506043,2.36E-05,0.00026765,0.040173531,0
2008.8362,136.0136871,1.87E-05,0.00039019,0.011022995,0
2009.3362,136.3539429,1.83E-05,0.00043145,0.00846923,0
2009.8362,136.9266663,2.01E-05,0.00040159,0.011956722,0
2010.3362,136.7437897,1.85E-05,0.00049531,0.006421833,0
2010.8362,136.1928101,1.54E-05,0.00030029,0.013267873,0
2011.3362,136.4632874,1.59E-05,3.20E-05,1.952412725,0
2011.8362,137.1339569,1.82E-05,4.77E-05,1.069104075,0
2012.3362,138.6316834,1.95E-05,4.77E-05,1.21867919,0
2012.8362,140.5323639,2.02E-05,0,-999.25,0
2013.3362,142.4284821,2.25E-05,0,-999.25,0
2013.8362,144.3223724,2.57E-05,8.64E-05,0.574209154,0
2014.3362,144.470047,2.92E-05,0.00012731,0.315652311,0
2014.8362,143.7669525,3.28E-05,0.00015552,0.256807029,0
2015.3362,142.6440582,5.05E-05,0.00014143,0.74958688,0
2015.8362,141.3166351,7.50E-05,7.05E-05,7.665102005,2
2016.3362,140.9546051,8.44E-05,0.00024996,0.599455774,0
2016.8362,141.0628967,8.65E-05,0.00020627,0.96096462,0
2017.3362,142.163208,8.41E-05,4.93E-05,21.22022247,2
2017.8362,143.7468262,7.95E-05,0.00022886,0.645981014,0
2018.3362,144.7971649,6.11E-05,0.00036594,0.135666475,0
2018.8362,145.5877075,3.59E-05,0.00019084,0.196008027,0
2019.3362,145.2090454,2.88E-05,6.18E-05,1.509452939,0
2019.8362,144.2608032,3.06E-05,0.00023746,0.088168651,0
2020.3362,143.0682526,4.06E-05,0.0002025,0.220626682,0
2020.8362,141.7567139,5.47E-05,2.24E-05,50.86207581,2
2021.3362,140.9208527,5.78E-05,0,-999.25,0
2021.8362,140.3167419,5.57E-05,0.00011295,1.495853782,0
2022.3362,140.8206482,5.08E-05,0.0003079,0.13708432,0
